Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50803_0012082,GL50803_0012082_t1,Giardia Assemblage A isolate WB 2019,putative Biotin-protein ligase (birA),240,25993,N/A,0,N/A
GL50803_0012089,GL50803_0012089_t1,Giardia Assemblage A isolate WB 2019,"Kinase, PEK",1602,178932,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_0012091,GL50803_0012091_t1,Giardia Assemblage A isolate WB 2019,Macrophage migration inhibitory factor,114,12368,Tautomerase/MIF superfamily,0,N/A
GL50803_0012093,GL50803_0012093_t1,Giardia Assemblage A isolate WB 2019,unspecified product,498,54346,N/A,0,N/A
GL50803_0012094,GL50803_0012094_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1669,188531,N/A,0,N/A
GL50803_0012095,GL50803_0012095_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",576,64729,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_0012102,GL50803_0012102_t1,Giardia Assemblage A isolate WB 2019,Elongation factor 1-gamma,402,45217,"Glutathione S-transferase, C-terminal domain superfamily;Elongation factor EF1B gamma, C-terminal domain superfamily",0,translation elongation factor activity
GL50803_00121045,GL50803_00121045_t1,Giardia Assemblage A isolate WB 2019,Histone H2B,130,14590,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50803_00121046,GL50803_00121046_t1,Giardia Assemblage A isolate WB 2019,Histone H2B,130,14590,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50803_0012105,GL50803_0012105_t1,Giardia Assemblage A isolate WB 2019,unspecified product,621,69800,N/A,0,N/A
GL50803_00121061,GL50803_00121061_t1,Giardia Assemblage A isolate WB 2019,RNA polymerase III subunit C34,233,25506,N/A,0,N/A
GL50803_00121062,GL50803_00121062_t1,Giardia Assemblage A isolate WB 2019,RNA polymerase III subunit C34,233,25506,N/A,0,N/A
GL50803_0012108,GL50803_0012108_t1,Giardia Assemblage A isolate WB 2019,Threonine dehydratase,937,104036,Tryptophan synthase beta subunit-like PLP-dependent enzyme,0,pyridoxal phosphate binding
GL50803_0012109,GL50803_0012109_t1,Giardia Assemblage A isolate WB 2019,Lysophosphatidylcholine acyltransferase/Lyso-PAF acetyltransferase,402,45531,N/A,2,acyltransferase activity
GL50803_0012116,GL50803_0012116_t1,Giardia Assemblage A isolate WB 2019,putative Lecithin-cholesterol acyl transferase,858,95813,Alpha/Beta hydrolase fold,0,O-acyltransferase activity
GL50803_0012119,GL50803_0012119_t1,Giardia Assemblage A isolate WB 2019,putative SnRNP Sm-like protein,95,10385,LSM domain superfamily,0,N/A
GL50803_0012139,GL50803_0012139_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 3,681,75884,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0012146,GL50803_0012146_t1,Giardia Assemblage A isolate WB 2019,unspecified product,447,50141,N/A,0,N/A
GL50803_0012147,GL50803_0012147_t1,Giardia Assemblage A isolate WB 2019,unspecified product,311,34841,N/A,0,N/A
GL50803_0012148,GL50803_0012148_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",785,86183,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_0012150,GL50803_0012150_t1,Giardia Assemblage A isolate WB 2019,putative Alanine aminotransferase,521,58324,Pyridoxal phosphate-dependent transferase,0,catalytic activity;pyridoxal phosphate binding;transaminase activity
GL50803_00121517,GL50803_00121517_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",880,96185,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_0012152,GL50803_0012152_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",334,38190,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_0012157,GL50803_0012157_t1,Giardia Assemblage A isolate WB 2019,RabJ-like protein,185,20078,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50803_0012160,GL50803_0012160_t1,Giardia Assemblage A isolate WB 2019,putative Yip interacting protein,161,18567,N/A,0,N/A
GL50803_0012161,GL50803_0012161_t1,Giardia Assemblage A isolate WB 2019,unspecified product,222,24874,N/A,0,N/A
GL50803_0012162,GL50803_0012162_t1,Giardia Assemblage A isolate WB 2019,Phenylalanyl-tRNA synthetase alpha chain,541,60764,N/A,0,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding
GL50803_0012163,GL50803_0012163_t1,Giardia Assemblage A isolate WB 2019,unspecified product,406,45551,N/A,0,N/A
GL50803_0012164,GL50803_0012164_t1,Giardia Assemblage A isolate WB 2019,putative Small nuclear ribonucleoprotein Sm D3,90,9748,LSM domain superfamily,0,N/A
GL50803_0012174,GL50803_0012174_t1,Giardia Assemblage A isolate WB 2019,"Phosphatidylinostol glycan, Class V",375,42821,N/A,6,"alpha-1,6-mannosyltransferase activity;glycolipid mannosyltransferase activity"
GL50803_0012207,GL50803_0012207_t1,Giardia Assemblage A isolate WB 2019,unspecified product,872,95450,N/A,0,N/A
GL50803_0012213,GL50803_0012213_t1,Giardia Assemblage A isolate WB 2019,unspecified product,795,88358,N/A,0,N/A
GL50803_0012215,GL50803_0012215_t1,Giardia Assemblage A isolate WB 2019,putative S-adenosylmethionine-dependent methyltransferase,264,29985,S-adenosyl-L-methionine-dependent methyltransferase,0,methyltransferase activity
GL50803_0012216,GL50803_0012216_t1,Giardia Assemblage A isolate WB 2019,Vacuolar ATP synthase subunit B,497,54747,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding
GL50803_0012217,GL50803_0012217_t1,Giardia Assemblage A isolate WB 2019,unspecified product,2165,237984,N/A,0,N/A
GL50803_0012218,GL50803_0012218_t1,Giardia Assemblage A isolate WB 2019,unspecified product,555,62090,N/A,0,N/A
GL50803_0012220,GL50803_0012220_t1,Giardia Assemblage A isolate WB 2019,putative Hydrolase,228,25042,HAD-like superfamily,0,N/A
GL50803_0012223,GL50803_0012223_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NAK",642,69651,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50803_0012224,GL50803_0012224_t1,Giardia Assemblage A isolate WB 2019,unspecified product,289,33878,N/A,0,N/A
GL50803_0012225,GL50803_0012225_t1,Giardia Assemblage A isolate WB 2019,unspecified product,405,46240,N/A,0,N/A
GL50803_0012229,GL50803_0012229_t1,Giardia Assemblage A isolate WB 2019,unspecified product,279,30832,N/A,0,N/A
GL50803_0012230,GL50803_0012230_t1,Giardia Assemblage A isolate WB 2019,unspecified product,230,25833,N/A,0,N/A
GL50803_0012231,GL50803_0012231_t1,Giardia Assemblage A isolate WB 2019,unspecified product,940,104395,N/A,0,N/A
GL50803_0012235,GL50803_0012235_t1,Giardia Assemblage A isolate WB 2019,tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase,532,59257,S-adenosyl-L-methionine-dependent methyltransferase,0,RNA binding;tRNA (guanine-N2-)-methyltransferase activity
GL50803_0012240,GL50803_0012240_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",519,57513,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_0012598,GL50803_0012598_t1,Giardia Assemblage A isolate WB 2019,Ribosomal RNA assembly protein KRR1,328,37502,"K Homology domain, type 1 superfamily",0,RNA binding;nucleic acid binding
GL50803_0012657,GL50803_0012657_t1,Giardia Assemblage A isolate WB 2019,unspecified product,163,19104,N/A,0,N/A
GL50803_0012741,GL50803_0012741_t1,Giardia Assemblage A isolate WB 2019,unspecified product,135,15342,N/A,0,N/A
GL50803_0012770,GL50803_0012770_t1,Giardia Assemblage A isolate WB 2019,START domain-containing protein,235,25696,N/A,0,lipid binding
GL50803_0012795,GL50803_0012795_t1,Giardia Assemblage A isolate WB 2019,unspecified product,237,26919,Thioredoxin-like superfamily,0,N/A
GL50803_0012800,GL50803_0012800_t1,Giardia Assemblage A isolate WB 2019,Leucine-rich repeat protein,383,42710,N/A,0,alpha-tubulin binding;protein binding
GL50803_0012807,GL50803_0012807_t1,Giardia Assemblage A isolate WB 2019,Thioredoxin like protein,184,20783,Thioredoxin-like superfamily,0,N/A
GL50803_0012820,GL50803_0012820_t1,Giardia Assemblage A isolate WB 2019,ABC transporter family protein,177,19817,P-loop containing nucleoside triphosphate hydrolase,0,ABC-type transporter activity
GL50803_0012828,GL50803_0012828_t1,Giardia Assemblage A isolate WB 2019,unspecified product,391,44106,N/A,0,N/A
GL50803_0012830,GL50803_0012830_t1,Giardia Assemblage A isolate WB 2019,unspecified product,269,27970,N/A,6,N/A
GL50803_0012853,GL50803_0012853_t1,Giardia Assemblage A isolate WB 2019,Molybdopterin biosynthesis MoeB protein,269,29850,Ubiquitin-activating enzyme,0,ubiquitin-like modifier activating enzyme activity
GL50803_0012866,GL50803_0012866_t1,Giardia Assemblage A isolate WB 2019,unspecified product,271,29889,N/A,0,N/A
GL50803_0012867,GL50803_0012867_t1,Giardia Assemblage A isolate WB 2019,unspecified product,530,60716,N/A,0,N/A
GL50803_0012885,GL50803_0012885_t1,Giardia Assemblage A isolate WB 2019,UBA-like domain-containing protein,398,42622,UBA-like superfamily,0,protein binding
GL50803_0012889,GL50803_0012889_t1,Giardia Assemblage A isolate WB 2019,unspecified product,390,43543,N/A,0,N/A
GL50803_0012905,GL50803_0012905_t1,Giardia Assemblage A isolate WB 2019,unspecified product,359,39631,N/A,0,N/A
GL50803_0012920,GL50803_0012920_t1,Giardia Assemblage A isolate WB 2019,unspecified product,214,23349,N/A,0,N/A
GL50803_0012921,GL50803_0012921_t1,Giardia Assemblage A isolate WB 2019,unspecified product,147,16194,EF-hand domain pair,0,N/A
GL50803_0012941,GL50803_0012941_t1,Giardia Assemblage A isolate WB 2019,unspecified product,268,29305,Armadillo-type fold,0,N/A
GL50803_0012942,GL50803_0012942_t1,Giardia Assemblage A isolate WB 2019,unspecified product,145,15957,YjbQ-like superfamily,0,N/A
GL50803_0012945,GL50803_0012945_t1,Giardia Assemblage A isolate WB 2019,Yip1 domain-containing protein,299,33266,N/A,5,small GTPase binding
GL50803_0012949,GL50803_0012949_t1,Giardia Assemblage A isolate WB 2019,Proteasome subunit beta type 5,294,32330,"Nucleophile aminohydrolases, N-terminal",0,threonine-type endopeptidase activity
GL50803_0012950,GL50803_0012950_t1,Giardia Assemblage A isolate WB 2019,Ubiquitin-conjugating enzyme E2 (E3-independent),196,22043,Ubiquitin-conjugating enzyme/RWD-like,0,N/A
GL50803_0012953,GL50803_0012953_t1,Giardia Assemblage A isolate WB 2019,unspecified product,187,21198,N/A,0,N/A
GL50803_0012981,GL50803_0012981_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein S5,190,21025,Ribosomal protein S7 domain superfamily,0,structural constituent of ribosome
GL50803_0012989,GL50803_0012989_t1,Giardia Assemblage A isolate WB 2019,unspecified product,560,62967,N/A,1,N/A
GL50803_0012993,GL50803_0012993_t1,Giardia Assemblage A isolate WB 2019,pseudogene,N/A,N/A,N/A,N/A,N/A
GL50803_0012999,GL50803_0012999_t1,Giardia Assemblage A isolate WB 2019,unspecified product,197,21315,N/A,1,N/A
GL50803_001300,GL50803_001300_t1,Giardia Assemblage A isolate WB 2019,unspecified product,267,30300,N/A,0,N/A
GL50803_0013000,GL50803_0013000_t1,Giardia Assemblage A isolate WB 2019,Vacuolar ATP synthase subunit d,351,39505,V-type ATP synthase subunit c/d subunit superfamily,0,proton transmembrane transporter activity
GL50803_0013007,GL50803_0013007_t1,Giardia Assemblage A isolate WB 2019,Zinc finger domain-containing protein,467,53946,Zinc finger C2H2 superfamily,0,nucleic acid binding;zinc ion binding
GL50803_0013055,GL50803_0013055_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,370,40118,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013056,GL50803_0013056_t1,Giardia Assemblage A isolate WB 2019,unspecified product,224,25409,N/A,0,N/A
GL50803_0013075,GL50803_0013075_t1,Giardia Assemblage A isolate WB 2019,putative replication factor-a protein,483,53565,"Nucleic acid-binding, OB-fold",0,nucleic acid binding
GL50803_0013091,GL50803_0013091_t1,Giardia Assemblage A isolate WB 2019,Deoxynucleoside kinase,343,39577,P-loop containing nucleoside triphosphate hydrolase,0,N/A
GL50803_0013101,GL50803_0013101_t1,Giardia Assemblage A isolate WB 2019,unspecified product,271,30266,N/A,0,N/A
GL50803_0013103,GL50803_0013103_t1,Giardia Assemblage A isolate WB 2019,Transcription elongation factor Elf1 like protein,228,26132,N/A,0,N/A
GL50803_0013104,GL50803_0013104_t1,Giardia Assemblage A isolate WB 2019,DNA repair protein RAD51,350,38067,"DNA repair Rad51/transcription factor NusA, alpha-helical;P-loop containing nucleoside triphosphate hydrolase",0,"ATP binding;ATP-dependent activity, acting on DNA;DNA binding;DNA strand exchange activity;nucleotide binding"
GL50803_0013109,GL50803_0013109_t1,Giardia Assemblage A isolate WB 2019,Ras-related protein,192,20914,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50803_0013127,GL50803_0013127_t1,Giardia Assemblage A isolate WB 2019,Proteasome subunit beta type 1,220,24562,"Nucleophile aminohydrolases, N-terminal",0,threonine-type endopeptidase activity
GL50803_0013133,GL50803_0013133_t1,Giardia Assemblage A isolate WB 2019,unspecified product,526,59797,N/A,0,N/A
GL50803_0013143,GL50803_0013143_t1,Giardia Assemblage A isolate WB 2019,unspecified product,255,28958,N/A,0,N/A
GL50803_0013152,GL50803_0013152_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,580,65373,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013156,GL50803_0013156_t1,Giardia Assemblage A isolate WB 2019,Eukaryotic initiation factor 4A,428,47973,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;nucleic acid binding
GL50803_0013164,GL50803_0013164_t1,Giardia Assemblage A isolate WB 2019,unspecified product,147,16368,Histone-fold,0,protein heterodimerization activity
GL50803_0013194,GL50803_0013194_t1,Giardia Assemblage A isolate WB 2019,VSP AS8,615,63070,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0013196,GL50803_0013196_t1,Giardia Assemblage A isolate WB 2019,unspecified product,699,78645,N/A,0,N/A
GL50803_0013200,GL50803_0013200_t1,Giardia Assemblage A isolate WB 2019,putative RNA helicase,636,70493,P-loop containing nucleoside triphosphate hydrolase,0,helicase activity
GL50803_0013201,GL50803_0013201_t1,Giardia Assemblage A isolate WB 2019,putative Nudix hydrolase,337,38882,NUDIX hydrolase-like domain superfamily,0,N/A
GL50803_0013204,GL50803_0013204_t1,Giardia Assemblage A isolate WB 2019,Zinc transporter protein,418,45565,"Cation efflux protein, cytoplasmic domain superfamily;Cation efflux transmembrane domain superfamily",6,cation transmembrane transporter activity
GL50803_0013210,GL50803_0013210_t1,Giardia Assemblage A isolate WB 2019,unspecified product,387,43471,N/A,0,N/A
GL50803_0013215,GL50803_0013215_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",596,66012,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_0013220,GL50803_0013220_t1,Giardia Assemblage A isolate WB 2019,ATP-dependent RNA helicase,756,84457,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;nucleic acid binding
GL50803_0013223,GL50803_0013223_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,208,22607,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013225,GL50803_0013225_t1,Giardia Assemblage A isolate WB 2019,YTH1 family protein,264,30527,"Zinc finger, CCCH-type superfamily",0,metal ion binding
GL50803_0013227,GL50803_0013227_t1,Giardia Assemblage A isolate WB 2019,unspecified product,252,28288,N/A,0,N/A
GL50803_0013231,GL50803_0013231_t1,Giardia Assemblage A isolate WB 2019,Calmodulin,154,17259,EF-hand domain pair,0,calcium ion binding
GL50803_0013239,GL50803_0013239_t1,Giardia Assemblage A isolate WB 2019,Dynein heavy chain and region D6 of dynein motor containing protein,164,18590,N/A,0,N/A
GL50803_0013262,GL50803_0013262_t1,Giardia Assemblage A isolate WB 2019,putative Flagellar C1a complex subunit C1a-32,334,37342,N/A,0,N/A
GL50803_0013268,GL50803_0013268_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein S25,88,10100,N/A,0,N/A
GL50803_0013269,GL50803_0013269_t1,Giardia Assemblage A isolate WB 2019,Eukaryotic translation initiation factor 3 subunit G,350,39539,N/A,0,N/A
GL50803_0013272,GL50803_0013272_t1,Giardia Assemblage A isolate WB 2019,Uridine nucleosidase,367,40411,Ribonucleoside hydrolase-like,0,N/A
GL50803_0013273,GL50803_0013273_t1,Giardia Assemblage A isolate WB 2019,Axonemal dynein light chain,235,26896,N/A,0,N/A
GL50803_0013274,GL50803_0013274_t1,Giardia Assemblage A isolate WB 2019,unspecified product,342,38332,N/A,0,N/A
GL50803_0013279,GL50803_0013279_t1,Giardia Assemblage A isolate WB 2019,unspecified product,447,51069,N/A,0,N/A
GL50803_0013282,GL50803_0013282_t1,Giardia Assemblage A isolate WB 2019,unspecified product,745,82600,N/A,0,N/A
GL50803_0013283,GL50803_0013283_t1,Giardia Assemblage A isolate WB 2019,unspecified product,366,40769,N/A,0,N/A
GL50803_0013288,GL50803_0013288_t1,Giardia Assemblage A isolate WB 2019,unspecified product,708,79458,N/A,0,N/A
GL50803_0013310,GL50803_0013310_t1,Giardia Assemblage A isolate WB 2019,unspecified product,321,36910,N/A,0,N/A
GL50803_0013315,GL50803_0013315_t1,Giardia Assemblage A isolate WB 2019,Microtubule associated protein,639,71308,N/A,0,microtubule binding
GL50803_0013316,GL50803_0013316_t1,Giardia Assemblage A isolate WB 2019,unspecified product,326,36465,N/A,0,N/A
GL50803_0013323,GL50803_0013323_t1,Giardia Assemblage A isolate WB 2019,unspecified product,839,92274,N/A,0,N/A
GL50803_0013329,GL50803_0013329_t1,Giardia Assemblage A isolate WB 2019,unspecified product,193,22055,N/A,4,N/A
GL50803_0013330,GL50803_0013330_t1,Giardia Assemblage A isolate WB 2019,unspecified product,241,26904,N/A,0,N/A
GL50803_0013342,GL50803_0013342_t1,Giardia Assemblage A isolate WB 2019,unspecified product,198,23063,N/A,0,N/A
GL50803_0013346,GL50803_0013346_t1,Giardia Assemblage A isolate WB 2019,Dmc1b,368,39310,"DNA repair Rad51/transcription factor NusA, alpha-helical;P-loop containing nucleoside triphosphate hydrolase",0,"ATP binding;ATP-dependent activity, acting on DNA;DNA binding;DNA strand exchange activity;nucleotide binding"
GL50803_0013350,GL50803_0013350_t1,Giardia Assemblage A isolate WB 2019,Alcohol dehydrogenase 3,406,44685,N/A,0,metal ion binding;oxidoreductase activity
GL50803_0013352,GL50803_0013352_t1,Giardia Assemblage A isolate WB 2019,T-complex protein-10,819,92137,N/A,0,N/A
GL50803_0013354,GL50803_0013354_t1,Giardia Assemblage A isolate WB 2019,unspecified product,170,19368,EF-hand domain pair,0,N/A
GL50803_0013360,GL50803_0013360_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,486,52639,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013372,GL50803_0013372_t1,Giardia Assemblage A isolate WB 2019,putative Spindle pole protein,464,55267,N/A,0,N/A
GL50803_0013382,GL50803_0013382_t1,Giardia Assemblage A isolate WB 2019,unspecified product,800,88080,N/A,0,N/A
GL50803_0013390,GL50803_0013390_t1,Giardia Assemblage A isolate WB 2019,VSP,721,74447,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0013393,GL50803_0013393_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,678,75670,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013402,GL50803_0013402_t1,Giardia Assemblage A isolate WB 2019,pseudogene,N/A,N/A,N/A,N/A,N/A
GL50803_0013412,GL50803_0013412_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein L10,241,27256,Ribosomal protein L10-like domain superfamily,0,N/A
GL50803_0013413,GL50803_0013413_t1,Giardia Assemblage A isolate WB 2019,unspecified product,183,20539,N/A,2,N/A
GL50803_00134209,GL50803_00134209_t1,Giardia Assemblage A isolate WB 2019,pseudogene,N/A,N/A,N/A,N/A,N/A
GL50803_0013427,GL50803_0013427_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,252,27706,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013428,GL50803_0013428_t1,Giardia Assemblage A isolate WB 2019,RNase P subunit p30,241,27269,Polymerase/histidinol phosphatase-like,0,catalytic activity
GL50803_0013437,GL50803_0013437_t1,Giardia Assemblage A isolate WB 2019,Protein 21.2 [Source:UniProtKB/TrEMBL;Acc:Q967Z9],316,35172,N/A,0,N/A
GL50803_0013438,GL50803_0013438_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,193,21309,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00134441,GL50803_00134441_t1,Giardia Assemblage A isolate WB 2019,LisH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:V6T716],131,14547,N/A,0,protein binding
GL50803_00134442,GL50803_00134442_t1,Giardia Assemblage A isolate WB 2019,LisH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:V6T716],131,14547,N/A,0,protein binding
GL50803_001345,GL50803_001345_t1,Giardia Assemblage A isolate WB 2019,Ribosomal protein L10a,217,24591,Ribosomal protein L1-like,0,RNA binding;structural constituent of ribosome
GL50803_0013452,GL50803_0013452_t1,Giardia Assemblage A isolate WB 2019,Regulator of nonsense transcripts 1-like protein,1304,147484,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;RNA binding;RNA helicase activity;helicase activity;zinc ion binding
GL50803_0013455,GL50803_0013455_t1,Giardia Assemblage A isolate WB 2019,unspecified product,575,63330,N/A,1,N/A
GL50803_0013464,GL50803_0013464_t1,Giardia Assemblage A isolate WB 2019,Splicesome-associated protein,463,53003,Zinc finger C2H2 superfamily,0,RNA binding
GL50803_0013467,GL50803_0013467_t1,Giardia Assemblage A isolate WB 2019,unspecified product,310,35048,N/A,0,N/A
GL50803_0013469,GL50803_0013469_t1,Giardia Assemblage A isolate WB 2019,unspecified product,320,35370,N/A,0,N/A
GL50803_00134710,GL50803_00134710_t1,Giardia Assemblage A isolate WB 2019,VSP,636,63946,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0013475,GL50803_0013475_t1,Giardia Assemblage A isolate WB 2019,Axoneme-associated protein GASP-180,8035,889615,Ankyrin repeat-containing domain superfamily,0,protein binding;sequence-specific DNA binding
GL50803_0013478,GL50803_0013478_t1,Giardia Assemblage A isolate WB 2019,ADP-ribosylation factor like protein 2a,179,19921,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50803_0013479,GL50803_0013479_t1,Giardia Assemblage A isolate WB 2019,"Kinase, NEK",531,59338,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50803_0013495,GL50803_0013495_t1,Giardia Assemblage A isolate WB 2019,unspecified product,243,27869,N/A,0,N/A
GL50803_0013500,GL50803_0013500_t1,Giardia Assemblage A isolate WB 2019,TCP-1 chaperonin subunit theta,563,60646,GroEL-like equatorial domain superfamily;GroEL-like apical domain superfamily;TCP-1-like chaperonin intermediate domain superfamily,0,ATP binding;ATP hydrolysis activity;unfolded protein binding
GL50803_00135002,GL50803_00135002_t1,Giardia Assemblage A isolate WB 2019,Histone H4,99,11100,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50803_00135003,GL50803_00135003_t1,Giardia Assemblage A isolate WB 2019,Histone H4,99,11100,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50803_0013504,GL50803_0013504_t1,Giardia Assemblage A isolate WB 2019,unspecified product,527,57045,N/A,1,N/A
GL50803_0013512,GL50803_0013512_t1,Giardia Assemblage A isolate WB 2019,TFIIH P34,279,30144,N/A,0,N/A
GL50803_0013523,GL50803_0013523_t1,Giardia Assemblage A isolate WB 2019,RAS like GTPase,243,27343,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50803_00135231,GL50803_00135231_t1,Giardia Assemblage A isolate WB 2019,histone H3,146,16320,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50803_0013524,GL50803_0013524_t1,Giardia Assemblage A isolate WB 2019,Phosphatase,385,43173,Metallo-dependent phosphatase-like,0,hydrolase activity
GL50803_0013525,GL50803_0013525_t1,Giardia Assemblage A isolate WB 2019,putative RNA methylase,496,55430,S-adenosyl-L-methionine-dependent methyltransferase,0,methyltransferase activity;nucleic acid binding
GL50803_00135269,GL50803_00135269_t1,Giardia Assemblage A isolate WB 2019,unspecified product,172,19644,N/A,0,N/A
GL50803_00135270,GL50803_00135270_t1,Giardia Assemblage A isolate WB 2019,unspecified product,172,19644,N/A,0,N/A
GL50803_0013528,GL50803_0013528_t1,Giardia Assemblage A isolate WB 2019,Sec1 family protein,641,71640,Sec1-like superfamily,0,N/A
GL50803_0013539,GL50803_0013539_t1,Giardia Assemblage A isolate WB 2019,unspecified product,172,20257,N/A,0,N/A
GL50803_0013550,GL50803_0013550_t1,Giardia Assemblage A isolate WB 2019,putative Rho GAP,189,21723,Rho GTPase activation protein,0,N/A
GL50803_0013555,GL50803_0013555_t1,Giardia Assemblage A isolate WB 2019,unspecified product,991,111861,N/A,0,N/A
GL50803_0013561,GL50803_0013561_t1,Giardia Assemblage A isolate WB 2019,Translation elongation factor 1-beta,220,24759,"Glutathione S-transferase, C-terminal domain superfamily;Translation elongation factor eEF-1beta-like superfamily",0,translation elongation factor activity
GL50803_00135725,GL50803_00135725_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,246,27619,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_0013575,GL50803_0013575_t1,Giardia Assemblage A isolate WB 2019,Tctex-1 family protein,107,12050,N/A,0,N/A
GL50803_0013576,GL50803_0013576_t1,Giardia Assemblage A isolate WB 2019,unspecified product,98,11035,N/A,0,N/A
GL50803_0013584,GL50803_0013584_t1,Giardia Assemblage A isolate WB 2019,unspecified product,386,43636,N/A,0,N/A
GL50803_00135873,GL50803_00135873_t1,Giardia Assemblage A isolate WB 2019,unspecified product,1039,113390,N/A,0,N/A
GL50803_00135885,GL50803_00135885_t1,Giardia Assemblage A isolate WB 2019,Histidine phosphatase superfamily protein,211,24038,Histidine phosphatase superfamily,0,catalytic activity
GL50803_00135886,GL50803_00135886_t1,Giardia Assemblage A isolate WB 2019,Histidine phosphatase superfamily protein,211,24038,Histidine phosphatase superfamily,0,catalytic activity
GL50803_0013590,GL50803_0013590_t1,Giardia Assemblage A isolate WB 2019,Ankyrin repeat protein 1,655,71806,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50803_00136003,GL50803_00136003_t1,Giardia Assemblage A isolate WB 2019,VSP,551,56243,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_00136004,GL50803_00136004_t1,Giardia Assemblage A isolate WB 2019,VSP,551,56243,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50803_0013601,GL50803_0013601_t1,Giardia Assemblage A isolate WB 2019,unspecified product,212,23640,N/A,0,N/A
GL50803_00136020,GL50803_00136020_t1,Giardia Assemblage A isolate WB 2019,Beta-tubulin 3,447,50050,"Tubulin/FtsZ, GTPase domain superfamily;Tubulin/FtsZ, C-terminal",0,GTP binding;GTPase activity;structural constituent of cytoskeleton
